"PARENT COMPANY","year","GHG"
"","2010",72159
"1804 LTD","2016",70403
"1804 LTD","2017",63498
"1804 LTD","2018",67216
"1804 LTD","2019",80081
"1804 LTD","2020",64294
"1804 LTD","2021",104097
"1804 LTD","2022",77438
"3 BEAR DELAWARE OPERATING  NM LLC","2020",73428
"3 BEAR DELAWARE OPERATING  NM LLC","2021",147385
"3 Bear Delaware Operating  NM LLC","2019",38691
"31 GROUP LLC","2018",47998
"31 GROUP LLC","2019",40272
"31 Group LLC","2017",48071
"31 OFFSHORE LLC","2022",8754.15
"31 Offshore LLC","2021",8101.05
"3CM HOLDINGS LLC","2019",238432
"3CM HOLDINGS LLC","2020",92696
"3CM HOLDINGS LLC","2021",263314
"3CM HOLDINGS LLC","2022",305370
"3M","2010",28988
"3M","2011",73653
"3M","2012",56199
"3M","2013",64664
"3M","2014",66307
"3M CO","2011",91254
"3M CO","2012",85177
"3M CO","2013",94616
"3M CO","2014",97310
"3M CO","2015",1244912
"3M CO","2016",1041918
"3M CO","2017",1071429
"3M CO","2018",1166836
"3M CO","2019",1212019
"3M CO","2020",1066631
"3M CO","2021",1113368
"3M CO","2022",1034538
"3M COMPANY","2010",28750
"3M Center","2010",87826
"3M Center","2011",60443
"3M Center","2012",57279
"3M Center","2013",58215
"3M Center","2014",53025
"3M Company","2010",281714
"3M Company","2011",1554655
"3M Company","2012",1651721
"3M Company","2013",2465505
"3M Company","2014",1409581
"600 LAND INC","2015",515559
"600 LAND INC","2016",166865
"600 LAND INC","2017",170160
"600 LAND INC","2018",158129
"600 LAND INC","2019",174792
"600 LAND INC","2020",172827
"600 LAND INC","2021",166988
"600 LAND INC","2022",157797
"600 LAND, INC","2011",519468
"600 LAND, INC","2012",539973
"600 LAND, INC","2013",498437
"600 LAND, INC","2014",525454
"600 Land, Inc","2010",426206
"600 Land, Inc.","2010",44395
"89 ENERGY LLC","2022",103680
"89 Energy LLC","2021",56693
"A TIMOSHENKO","2016",1892.25
"A TIMOSHENKO","2017",1743
"A TIMOSHENKO","2018",2042.25
"A TIMOSHENKO","2019",2975.25
"A TIMOSHENKO","2020",2485.5
"A TIMOSHENKO","2021",1795.5
"A TIMOSHENKO","2022",3557.25
"A Timoshenko","2015",1801.5
"ABB","2011",27107
"ABB","2012",114
"ABB","2013",70789
"ABB","2014",21637
"ABB LTD","2015",10898
"ABB LTD","2016",4551
"ABB LTD","2017",6496
"ABB LTD","2018",4469
"ABB LTD","2019",15043
"ABB LTD","2020",11024
"ABB LTD","2021",1049
"ABB LTD","2022",1596
"ABBOTT LABORATORIES","2011",241152
"ABBOTT LABORATORIES","2012",211857
"ABBOTT LABORATORIES","2013",145452
"ABBOTT LABORATORIES","2014",147317
"ABBOTT LABORATORIES","2015",137004
"ABBOTT LABORATORIES","2016",138160
"ABBOTT LABORATORIES","2017",117778
"ABBOTT LABORATORIES","2018",114188
"ABBOTT LABORATORIES","2019",113543
"ABBOTT LABORATORIES","2020",111891
"ABBOTT LABORATORIES","2021",135898
"ABBOTT LABORATORIES","2022",138440
"ABBVIE INC","2015",169719
"ABBVIE INC","2016",159492
"ABBVIE INC","2017",148979
"ABBVIE INC","2018",154504
"ABBVIE INC","2019",154326
"ABBVIE INC","2020",128416
"ABBVIE INC","2021",128081
"ABBVIE INC","2022",106307
"ABEL GREGORY E","2021",324.4
"ABENGOA BIOENERGY","2011",404624
"ABENGOA BIOENERGY","2012",385846
"ABENGOA BIOENERGY","2013",367227
"ABENGOA BIOENERGY","2014",396720
"ABENGOA BIOENERGY","2015",521647
"ABENGOA BIOENERGY US HOLDING","2011",12
"ABENGOA BIOENERGY US HOLDING","2014",7461
"ABF ENTERPRISES","2015",1582.32
"ABF ENTERPRISES","2016",1645.05
"ABF ENTERPRISES","2017",1642.5
"ABF ENTERPRISES","2018",1642.05
"ABF ENTERPRISES","2019",1652.49
"ABF ENTERPRISES","2020",1545.33
"ABF ENTERPRISES","2021",1634.13
"ABF ENTERPRISES","2022",1664.31
"ABF Enterprises LLC","2011",1440.15
"ABF Enterprises LLC","2012",1492.56
"ABF Enterprises LLC","2013",1498.56
"ABF Enterprises LLC","2014",1624.11
"ABIBOW US INC - Catawba Operations","2010",165838
"ABILENE ENVIRONMENTAL LANDFILL","2019",27655
"ABILENE ENVIRONMENTAL LANDFILL INC","2017",22027
"ABILENE ENVIRONMENTAL LANDFILL INC","2018",24647
"ABILENE ENVIRONMENTAL LANDFILL INC","2020",30745
"ABILENE ENVIRONMENTAL LANDFILL INC","2021",33241
"ABILENE ENVIRONMENTAL LANDFILL INC","2022",34690
"ABRAXAS PETROLEUM CORP","2015",100297
"ABRAXAS PETROLEUM CORP","2016",34092
"ABRAXAS PETROLEUM CORP","2017",19234
"ABRAXAS PETROLEUM CORP","2018",233222
"ABRAXAS PETROLEUM CORP","2019",364705
"ABRAXAS PETROLEUM CORP","2020",131335
"ABRAXAS PETROLEUM CORP","2021",149412
"ABRAXAS PETROLEUM CORP","2022",39118
"ABSOLUTE ENERGY LLC","2015",178561
"ABSOLUTE ENERGY LLC","2016",174562
"ABSOLUTE ENERGY LLC","2017",177140
"ABSOLUTE ENERGY LLC","2018",170172
"ABSOLUTE ENERGY LLC","2019",140703
"ABSOLUTE ENERGY LLC","2020",142519
"ABSOLUTE ENERGY LLC","2021",147592
"ABSOLUTE ENERGY LLC","2022",151052
"ABSOLUTE ENERGY, LLC","2011",167014
"ABSOLUTE ENERGY, LLC","2012",172951
"ABSOLUTE ENERGY, LLC","2013",180438
"ABSOLUTE ENERGY, LLC","2014",179162
"AC OCEAN WALK LLC","2019",188
"AC OCEAN WALK LLC","2020",248
"AC Ocean Walk LLC","2018",248
"ACADIA PARISH POLICE JURY","2011",47808
"ACADIA PARISH POLICE JURY","2012",49691
"ACADIA PARISH POLICE JURY","2013",50323
"ACADIA PARISH POLICE JURY","2014",51001
"ACADIA PARISH POLICE JURY","2015",51687
"ACADIA PARISH POLICE JURY","2016",52503
"ACADIA PARISH POLICE JURY","2017",52774
"ACADIA PARISH POLICE JURY","2018",53050
"ACADIA PARISH POLICE JURY","2019",53725
"ACADIA PARISH POLICE JURY","2020",45083
"ACADIA PARISH POLICE JURY","2021",45792
"ACADIA PARISH POLICE JURY","2022",46563
"ACCURIDE CORP","2015",52488
"ACCURIDE CORP","2016",50160
"ACCURIDE CORP","2017",56767
"ACCURIDE CORP","2018",69271
"ACCURIDE CORP","2020",52955
"ACCURIDE CORP","2021",51590
"ACCURIDE CORP","2022",42193
"ACE Cogeneration Company","2011",721407
"ACE Cogeneration Company","2012",581743
"ACE Cogeneration Company","2013",327423
"ACE Cogeneration Company","2014",368560
"ACE ETHANOL LLC","2015",73115
"ACE ETHANOL LLC","2016",74012
"ACE ETHANOL LLC","2017",73406
"ACE ETHANOL LLC","2018",73526
"ACE ETHANOL LLC","2019",154675
"ACE ETHANOL LLC","2020",99284
"ACE ETHANOL LLC","2021",126051
"ACE ETHANOL LLC","2022",157301
"ACE ETHANOL, LLC","2011",70091
"ACE ETHANOL, LLC","2012",71601
"ACE ETHANOL, LLC","2013",72119
"ACE ETHANOL, LLC","2014",75143
"ACE Ethanol, LLC","2010",71980
"ACI Energy Inc.","2011",344973
"ACI Energy Inc.","2012",302617
"ACI Energy Inc.","2013",87996
"ACME BRICK COMPANY","2011",22273
"ACME BRICK COMPANY","2012",24725
"ACME BRICK COMPANY","2013",31235
"ACME BRICK COMPANY","2014",29376
"ACMS INC","2016",29670
"ACMS INC","2017",47097
"ADA CARBON SOLUTIONS LLC","2015",188763
"ADA CARBON SOLUTIONS LLC","2016",220377
"ADA CARBON SOLUTIONS LLC","2017",183758
"ADA CARBON SOLUTIONS LLC","2018",197307
"ADA CARBON SOLUTIONS LLC","2019",172185
"ADA CARBON SOLUTIONS LLC","2020",194427
"ADA CARBON SOLUTIONS LLC","2021",273325
"ADA CARBON SOLUTIONS LLC","2022",321030
"ADA COGEN HOLDINGS LP","2016",93188.715
"ADA COGEN HOLDINGS LP","2017",94775.74
"ADA COGEN HOLDINGS LP","2018",100484.055
"ADA COGENERATION LP","2019",80986.035
"ADA COGENERATION LP","2021",104600
"ADA COGENERATION LP","2022",126690
"ADA COUNTY","2015",138761
"ADA COUNTY","2016",113222
"ADA COUNTY","2017",76916
"ADA COUNTY","2018",77435
"ADA Carbon Solutions, LLC","2011",62534
"ADA Carbon Solutions, LLC","2012",126980
"ADA Carbon Solutions, LLC","2013",97534
"ADA Carbon Solutions, LLC","2014",143455
"ADKINS ENERGY LLC","2011",73369
"ADKINS ENERGY LLC","2012",65913
"ADKINS ENERGY LLC","2013",67655
"ADKINS ENERGY LLC","2014",74812
"ADKINS ENERGY LLC","2015",76422
"ADKINS ENERGY LLC","2016",80071
"ADKINS ENERGY LLC","2017",85443
"ADKINS ENERGY LLC","2018",84644
"ADKINS ENERGY LLC","2019",91352
"ADKINS ENERGY LLC","2020",86205
"ADKINS ENERGY LLC","2021",90388
"ADKINS ENERGY LLC","2022",93889
"ADS WASTE HOLDINGS INC","2010",43495
