"","V1","V2","V3"
"1","1804 ","","5"
"2","3M","3M","0"
"3","3M CO","3M CO","0"
"4","3M ","3M ","0"
"5","3M CENTER","3M CENTER","0"
"6","3M ","3M ","0"
"7","600 LAND ","LINDE ","7"
"8","600 LAND, ","LINDE ","8"
"9","600 LAND, ","LINDE ","8"
"10","600 LAND","LINDE ","8"
"11","A TIMOSHENKO","TRINSEO","9"
"12","A TIMOSHENKO","TRINSEO","9"
"13","ABB","ABB","0"
"14","ABB ","ABB ","0"
"15","ABBOTT LABORATORIES","ABBOTT LABORATORIES","0"
"16","ABBVIE ","ABBVIE ","0"
"17","ABEL GREGORY E","BERRY ","8"
"18","ABENGOA BIOENERGY","TALEN ENERGY ","10"
"19","ABENGOA BIOENERGY US ","TALEN ENERGY ","12"
"20","ABF ENTERPRISES","ENTERGY","12"
"21","ABIBOW US  - CATAWBA OPERATIONS","TXI OPERATIONS ","22"
"22","ABILENE ENVIRONMENTAL LANDFILL","GFL ENVIRONMENTAL ","16"
"23","ABILENE ENVIRONMENTAL LANDFILL ","GFL ENVIRONMENTAL ","17"
"24","ABRAXAS PETROLEUM ","ABRAXAS PETROLEUM ","0"
"25","ACADIA PARISH POLICE JURY","UNION PARISH POLICE JURY","9"
"26","ACCURIDE ","CREE ","6"
"27","ACE COGENERATION ","SEMPRA GENERATION","10"
"28","ACI ENERGY .","PDC ENERGY ","5"
"29","ACME BRICK ","AMEREN ","8"
"30","ACMS ","AES ","3"
"31","ADA COGEN  ","AMGEN ","7"
"32","ADA COGENERATION ","SEMPRA GENERATION","10"
"33","ADA COUNTY","RHEA COUNTYN","6"
"34","ADS WASTE  ","SDW  ","8"
"35","ADS WASTE , ","IDA, ","9"
"36","ADS WASTE ","US STEEL ","7"
"37","ADVANCED DISPOSAL SERVICES","ADVANCED DISPOSAL SERVICES","0"
"38","ADVANCED DISPOSAL SERVICES ","ADVANCED DISPOSAL SERVICES","1"
"39","ADVANSIX ","ADVANSIX ","0"
"40","AEMETIS ","AEMETIS ","0"
"41","AEP GENERATION RESOURCES ","ANTERO RESOURCES ","10"
"42","AES ","AES ","0"
"43","AES ","AES ","0"
"44","AES EASTERN ENERGY ","SOUTHWESTERN ENERGY ","9"
"45","AES EASTERN ENERGY, ","SOUTHWESTERN ENERGY ","10"
"46","AES EASTERN ENERGY,","WALTER ENERGY","10"
"47","AETHON ENERGY","DEVON ENERGY","5"
"48","AETHON UNITED BR ","UNIT ","12"
"49","AG ENERGY ","MGE ENERGY ","3"
"50","AG ENERGY PARTNERS ","NGL ENERGY PARTNERS ","3"
"51","AG ENERGY, ","MGE ENERGY ","4"
"52","AG PROCESSING ","BOEING ","9"
"53","AG PROCESSING  A COOPERATIVE","ROCK ENERGY COOPERATIVE","15"
"54","AGAVE ENERGY ","MGE ENERGY ","4"
"55","AGC","GE","3"
"56","AGC AMERICA ","SCA AMERICAS ","5"
"57","AGC AMERICA .","BP AMERICA .","5"
"58","AGC FLAT GLASS NORTH AMERICA","TRAXYS NORTH AMERICA","14"
"59","AGC FLAT GLASS NORTH AMERICA ","SASOL NORTH AMERICA ","15"
"60","AGC FLAT GLASS NORTH AMERICA","TRAXYS NORTH AMERICA","14"
"61","AGC FLAT GLASS NORTH AMERICA","TRAXYS NORTH AMERICA","14"
"62","AGC GLASS CO NORTH AMERICA","SASOL NORTH AMERICA ","12"
"63","AGC GLASS  NORTH AMERICA","NISSAN NORTH AMERICA","12"
"64","AGL RESOURCES ","AGL RESOURCES ","0"
"65","AGRA MARKE QUALITY GRAINS ","GREEN PLAINS ","19"
"66","AGRI-MARK ","ARKEMA ","7"
"67","AGRIUM US ","AGRIUM US ","0"
"68","AGROPUR ","APA ","6"
"69","AGY  CO","SNF  CO","6"
"70","AGY  ","WGL  ","4"
"71","AHLSTROM-MUNKSJO USA ","STYROPEK USA ","14"
"72","AIR PRODUCTS & CHEMICALS ","AIR PRODUCTS & CHEMICALS ","0"
"73","AIRCRAFT SERVICES  - GENERAL","AIRCRAFT SERVICES  (GE ENTITY)","14"
"74","AIRGAS ","IDA ","5"
"75","AJINOMOTO ANIMAL NUTRITION NORTH AMERICA ","SAINT GOBAIN NORTH AMERICA","23"
"76","AJINOMOTO HEALTH & NUTRITION NORTH AMERICA ","SAINT GOBAIN NORTH AMERICA","25"
"77","AJINOMOTO HEARTLAND ","INTEL ","14"
"78","AK STEEL ","US STEEL ","4"
"79","AK STEEL  ","US STEEL ","5"
"80","AK STEEL ","US STEEL ","4"
"81","AKZO NOBEL CHEMICALS ","AKZO NOBEL CHEMICALS","1"
"82","AKZO NOBEL ","INTEL ","9"
"83","AL TURI LANDFILL ","T S LANDFILL, ","9"
"84","AL TURI LANDFILL, ","T S LANDFILL, ","8"
"85","AL-CORN CLEAN FUEL","ALCOA ","12"
"86","ALABAMA MUNICIPAL ELECTRIC AUTHORITY","TAMPA ELECTRIC CO","23"
"87","ALAMANCE COUNTY","RICE COUNTY","8"
"88","ALAMO CEMENT CO","MONARCH CEMENT CO","8"
"89","ALASKA ELECTRIC & ENERGY COOPERATIVE, ","ROCK ENERGY COOPERATIVE","19"
"90","ALASKA VILLAGE ELECTRIC COOPERATIVE","SAN MIGUEL ELECTRIC COOPERATIVE ","13"
"91","ALBEMARLE ","ALBEMARLE ","0"
"92","ALBERT EINSTEIN COLLEGE OF MEDICINE","THE COLLEGE OF NEW JERSEY","28"
"93","ALCAN PRIMARY PRODUCTS ","SPRAY PRODUCTS ","10"
"94","ALCOA ","ALCOA ","0"
"95","ALCOA ","ALCOA ","0"
"96","ALCON LABORATORIES ","ALCON LABORATORIES","1"
"97","ALERIS ","AES ","3"
"98","ALERIS INTERNATIONAL ","HAYNES INTERNATIONAL ","6"
"99","ALEXANDER & BALDWIN ","ALEXANDER & BALDWIN ","0"
"100","ALEXANDER & BALDWIN, ","ALEXANDER & BALDWIN, ","0"
"101","ALGONQUIN POWER & UTILITIES ","ALGONQUIN POWER & UTILITIES ","0"
"102","ALGONQUIN POWER FUND (AMERICA) ","SUBARU OF AMERICA ","21"
"103","ALJ REGIONAL  CO","ALCOA ","12"
"104","ALJ REGIONAL ","ALCOA ","9"
"105","ALL AMERICAN ASPHALT","SCA AMERICAS","12"
"106","ALL AMERICAN OIL & GAS ","MAGNOLIA OIL & GAS ","12"
"107","ALLEGHENY TECHNOLOGIES ","ALLEGHENY TECHNOLOGIES ","0"
"108","ALLEN COUNTY KANSAS","SEWARD COUNTY KANSAS","9"
"109","ALLENS ","AES ","3"
"110","ALLETE ","ALLETE ","0"
"111","ALLETE, ","ALLETE, ","0"
"112","ALLETE","ALLETE","0"
"113","ALLIANCE COAL, ","ALCOA ","9"
"114","ALLIANCE ENERGY GROUP","ALLIANT ENERGY ","8"
"115","ALLIANCE  GP ","LINDE ","9"
"116","ALLIANCE PIPELINE ","TC PIPELINES ","9"
"117","ALLIANT ENERGY ","ALLIANT ENERGY ","0"
"118","ALLIANT TECHSYSTEMS ","ALLIANT TECHSYSTEMS ","0"
"119","ALLIED WASTE TRANSPORATION ","ALLISON TRANSMISSION ","18"
"120","ALLISON TRANSMISSION  ","ALLISON TRANSMISSION  ","0"
"121","ALLISON TRANSMISSION ","ALLISON TRANSMISSION ","0"
"122","ALLISON TRANSMISSION, ","ALLISON TRANSMISSION ","1"
"123","ALMATIS ","AEMETIS ","4"
"124","ALON USA ","SASOL USA ","5"
