"ticker","year","GHG","yearcount","chat_company"
"AA",2010,73920233.7586,13,"ALCOA CORP"
"AA",2011,107969783.979,13,"ALCOA CORP"
"AA",2012,107522467.1126,13,"ALCOA CORP"
"AA",2013,108200483.9554,13,"ALCOA CORP"
"AA",2014,106234654.4849,13,"ALCOA CORP"
"AA",2015,102742596,13,"ALCOA CORP"
"AA",2016,61629966,13,"ALCOA CORP"
"AA",2017,52772304,13,"ALCOA CORP"
"AA",2018,74043486,13,"ALCOA CORP"
"AA",2019,71656930,13,"ALCOA CORP"
"AA",2020,71274780,13,"ALCOA CORP"
"AA",2021,63580900,13,"ALCOA CORP"
"AA",2022,60139510,13,"ALCOA CORP"
"ABT",2010,1001144,13,"ABBOTT LABORATORIES"
"ABT",2011,964608,13,"ABBOTT LABORATORIES"
"ABT",2012,847428,13,"ABBOTT LABORATORIES"
"ABT",2013,581808,13,"ABBOTT LABORATORIES"
"ABT",2014,589268,13,"ABBOTT LABORATORIES"
"ABT",2015,548016,13,"ABBOTT LABORATORIES"
"ABT",2016,552640,13,"ABBOTT LABORATORIES"
"ABT",2017,471112,13,"ABBOTT LABORATORIES"
"ABT",2018,456752,13,"ABBOTT LABORATORIES"
"ABT",2019,454172,13,"ABBOTT LABORATORIES"
"ABT",2020,447564,13,"ABBOTT LABORATORIES"
"ABT",2021,543592,13,"ABBOTT LABORATORIES"
"ABT",2022,553760,13,"ABBOTT LABORATORIES"
"ADM",2010,11145390,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2011,12702713,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2012,12818079,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2013,12551856,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2014,12876327,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2015,12573189,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2016,12150317,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2017,12381362,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2018,12341044,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2019,12388843,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2020,11271636,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2021,11235812,13,"ARCHER DANIELS MIDLAND COMPANY"
"ADM",2022,11371897,13,"ARCHER DANIELS MIDLAND COMPANY"
"AEE",2010,58893386,13,"AMEREN CORP"
"AEE",2011,239607328,13,"AMEREN CORP"
"AEE",2012,193573704,13,"AMEREN CORP"
"AEE",2013,121577120,13,"AMEREN CORP"
"AEE",2014,122311664,13,"AMEREN CORP"
"AEE",2015,113815164,13,"AMEREN CORP"
"AEE",2016,106849880,13,"AMEREN CORP"
"AEE",2017,120458312,13,"AMEREN CORP"
"AEE",2018,118012388,13,"AMEREN CORP"
"AEE",2019,97259528,13,"AMEREN CORP"
"AEE",2020,103447388,13,"AMEREN CORP"
"AEE",2021,112355172,13,"AMEREN CORP"
"AEE",2022,99454392,13,"AMEREN CORP"
"AEP",2010,256564937.53092,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2011,261906756.57476,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2012,234462632.4555,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2013,221309385.0636,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2014,241529536.55074,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2015,199639944.0938,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2016,183332118.77572,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2017,139326351.08958,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2018,136796956.01434,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2019,70021201.59257,13,"AMERICAN ELECTRIC POWER CO INC"
"AEP",2020,54382474.17485,13,"AMERICAN ELECTRIC POWER CO INC"
