"sentences","reduction","netzero","error","filename"
6843,4,0,0,"AEE_14_processed.csv"
1819,2,0,0,"ALEX_14_processed.csv"
1793,1,0,0,"ALEX_15_processed.csv"
1605,0,0,0,"ALEX_16_processed.csv"
1497,0,0,0,"ALEX_17_processed.csv"
1629,0,0,0,"ALEX_18_processed.csv"
1504,0,0,0,"ALEX_19_processed.csv"
2574,2,0,1,"ALEX_20_processed.csv"
1537,0,0,0,"ALEX_21_processed.csv"
1465,2,0,0,"ALEX_22_processed.csv"
1446,0,0,0,"AWI_14_processed.csv"
1496,0,0,0,"AWI_15_processed.csv"
1493,0,0,0,"AWI_16_processed.csv"
1531,0,0,0,"AWI_17_processed.csv"
1540,1,0,0,"AWI_18_processed.csv"
1664,0,0,0,"AWI_19_processed.csv"
1613,0,0,0,"AWI_20_processed.csv"
1633,0,0,0,"AWI_21_processed.csv"
2148,1,0,0,"AWI_22_processed.csv"
1689,0,0,2,"BC_14_processed.csv"
1701,0,0,2,"BC_15_processed.csv"
1643,0,0,2,"BC_16_processed.csv"
1555,0,0,2,"BC_17_processed.csv"
1575,0,0,2,"BC_18_processed.csv"
1741,0,0,2,"BC_19_processed.csv"
2780,0,1,3,"BC_20_processed.csv"
1556,0,1,1,"BC_21_processed.csv"
1456,0,0,1,"BC_22_processed.csv"
1406,0,0,0,"BDC_14_processed.csv"
1582,0,0,0,"BDC_15_processed.csv"
1603,0,0,0,"BDC_16_processed.csv"
1721,0,0,0,"BDC_17_processed.csv"
1716,0,0,0,"BDC_18_processed.csv"
1617,0,0,0,"BDC_19_processed.csv"
2729,1,0,0,"BDC_20_processed.csv"
1533,0,0,0,"BDC_21_processed.csv"
1503,0,0,0,"BDC_22_processed.csv"
1756,2,0,0,"CENX_14_processed.csv"
1710,2,0,2,"CENX_15_processed.csv"
1547,2,0,0,"CENX_16_processed.csv"
1339,2,0,0,"CENX_17_processed.csv"
1309,0,0,0,"CENX_18_processed.csv"
1343,0,0,0,"CENX_19_processed.csv"
2468,1,0,0,"CENX_20_processed.csv"
1435,1,0,0,"CENX_21_processed.csv"
1466,1,0,0,"CENX_22_processed.csv"
1775,0,0,0,"CMP_14_processed.csv"
2173,0,0,0,"CMP_15_processed.csv"
1933,0,0,2,"CMP_16_processed.csv"
2117,0,0,0,"CMP_17_processed.csv"
2095,0,0,0,"CMP_18_processed.csv"
2177,0,0,0,"CMP_19_processed.csv"
3615,1,0,2,"CMP_20_processed.csv"
1989,0,0,0,"CMP_21_processed.csv"
2492,0,0,4,"CMP_22_processed.csv"
2325,1,0,0,"CRS_14_processed.csv"
1175,0,0,0,"CRS_15_processed.csv"
1190,0,0,0,"CRS_16_processed.csv"
1208,0,0,0,"CRS_17_processed.csv"
1210,0,0,0,"CRS_18_processed.csv"
1242,0,0,0,"CRS_19_processed.csv"
2460,2,0,2,"CRS_20_processed.csv"
1496,1,0,1,"CRS_21_processed.csv"
1510,1,0,2,"CRS_22_processed.csv"
2988,2,0,0,"CVI_14_processed.csv"
2957,1,0,0,"CVI_15_processed.csv"
2748,1,0,0,"CVI_16_processed.csv"
2926,0,0,0,"CVI_17_processed.csv"
2567,0,0,0,"CVI_18_processed.csv"
1657,0,0,0,"CVI_19_processed.csv"
1532,0,0,1,"CVI_20_processed.csv"
1582,3,0,0,"CVI_21_processed.csv"
1682,2,0,0,"CVI_22_processed.csv"
1705,1,0,0,"CWST_14_processed.csv"
1826,1,0,0,"CWST_15_processed.csv"
1809,1,0,0,"CWST_16_processed.csv"
2048,0,4,0,"CWST_17_processed.csv"
2053,0,4,0,"CWST_18_processed.csv"
2007,0,4,0,"CWST_19_processed.csv"
1911,0,0,0,"CWST_20_processed.csv"
1881,0,0,0,"CWST_21_processed.csv"
1771,0,0,0,"CWST_22_processed.csv"
1665,2,1,0,"DAL_14_processed.csv"
1629,2,1,0,"DAL_15_processed.csv"
1668,2,1,0,"DAL_16_processed.csv"
1619,3,0,0,"DAL_17_processed.csv"
1600,2,0,0,"DAL_18_processed.csv"
1722,0,1,0,"DAL_19_processed.csv"
1641,0,2,0,"DAL_20_processed.csv"
2043,0,4,0,"DAL_21_processed.csv"
1955,3,5,0,"DAL_22_processed.csv"
3226,8,0,2,"DCP_14_processed.csv"
3137,9,0,0,"DCP_15_processed.csv"
3109,9,0,0,"DCP_16_processed.csv"
3136,9,0,0,"DCP_17_processed.csv"
2892,3,0,0,"DCP_18_processed.csv"
3079,0,0,0,"DCP_19_processed.csv"
2847,0,0,2,"DCP_20_processed.csv"
3005,2,1,2,"DCP_21_processed.csv"
2520,15,2,2,"DCP_22_processed.csv"
3473,13,0,0,"DE_14_processed.csv"
2475,10,0,12,"DE_15_processed.csv"
1004,6,0,9,"DE_16_processed.csv"
2328,3,0,18,"DE_17_processed.csv"
2495,3,0,20,"DE_18_processed.csv"
5108,5,0,5,"DE_19_processed.csv"
5378,5,0,3,"DE_20_processed.csv"
6043,11,0,7,"DE_21_processed.csv"
5724,15,0,3,"DE_22_processed.csv"
1922,3,0,0,"FF_14_processed.csv"
1912,2,0,0,"FF_15_processed.csv"
1840,1,0,0,"FF_16_processed.csv"
1803,0,0,0,"FF_17_processed.csv"
2116,0,0,0,"FF_18_processed.csv"
2238,0,0,0,"FF_19_processed.csv"
2138,0,0,0,"FF_20_processed.csv"
1826,0,0,0,"FF_21_processed.csv"
1802,0,0,0,"FF_22_processed.csv"
3448,4,0,0,"GEVO_14_processed.csv"
3579,5,0,0,"GEVO_15_processed.csv"
2603,3,0,0,"GEVO_16_processed.csv"
2557,1,0,0,"GEVO_17_processed.csv"
2280,3,0,0,"GEVO_18_processed.csv"
2180,1,0,0,"GEVO_19_processed.csv"
2141,0,3,0,"GEVO_20_processed.csv"
2235,0,27,0,"GEVO_21_processed.csv"
1676,0,18,0,"GEVO_22_processed.csv"
2147,5,0,0,"HII_14_processed.csv"
2203,4,0,0,"HII_15_processed.csv"
2199,4,0,0,"HII_16_processed.csv"
2184,0,0,0,"HII_17_processed.csv"
2141,0,0,0,"HII_18_processed.csv"
2160,0,0,0,"HII_19_processed.csv"
2019,0,0,0,"HII_20_processed.csv"
2056,1,0,0,"HII_21_processed.csv"
2048,0,0,0,"HII_22_processed.csv"
2311,2,0,2,"HXL_14_processed.csv"
1181,1,0,0,"HXL_15_processed.csv"
1231,4,0,0,"HXL_16_processed.csv"
1352,1,0,0,"HXL_17_processed.csv"
1330,1,0,0,"HXL_18_processed.csv"
1324,1,0,0,"HXL_19_processed.csv"
1359,1,0,1,"HXL_20_processed.csv"
1412,1,0,0,"HXL_21_processed.csv"
1675,4,0,0,"HXL_22_processed.csv"
1241,0,0,0,"KOP_14_processed.csv"
1375,0,0,0,"KOP_15_processed.csv"
1555,0,0,0,"KOP_16_processed.csv"
1592,0,0,0,"KOP_17_processed.csv"
1601,0,0,0,"KOP_18_processed.csv"
1545,0,0,0,"KOP_19_processed.csv"
1570,1,0,0,"KOP_20_processed.csv"
1608,0,1,0,"KOP_21_processed.csv"
1521,0,1,0,"KOP_22_processed.csv"
1487,0,0,0,"LXU_14_processed.csv"
1283,0,0,0,"LXU_15_processed.csv"
1962,0,0,0,"LXU_16_processed.csv"
1872,1,0,0,"LXU_17_processed.csv"
1813,0,0,0,"LXU_18_processed.csv"
1675,0,0,0,"LXU_19_processed.csv"
1555,0,0,0,"LXU_20_processed.csv"
1564,0,0,0,"LXU_21_processed.csv"
1562,0,0,0,"LXU_22_processed.csv"
1445,2,0,0,"MGPI_14_processed.csv"
1567,4,0,0,"MGPI_15_processed.csv"
1361,1,0,0,"MGPI_16_processed.csv"
1295,1,0,0,"MGPI_17_processed.csv"
1030,1,0,0,"MGPI_18_processed.csv"
971,0,0,0,"MGPI_19_processed.csv"
928,2,0,0,"MGPI_20_processed.csv"
1001,2,0,0,"MGPI_21_processed.csv"
1150,1,0,0,"MGPI_22_processed.csv"
752,0,0,0,"MLM_14_processed.csv"
837,1,0,0,"MLM_15_processed.csv"
886,3,0,0,"MLM_16_processed.csv"
868,1,0,0,"MLM_17_processed.csv"
903,0,0,0,"MLM_18_processed.csv"
841,0,0,0,"MLM_19_processed.csv"
2153,3,1,0,"MLM_20_processed.csv"
1922,4,3,0,"MLM_21_processed.csv"
2064,9,4,0,"MLM_22_processed.csv"
1791,0,0,2,"MU_14_processed.csv"
1603,0,0,0,"MU_15_processed.csv"
1614,0,0,0,"MU_16_processed.csv"
1502,0,0,2,"MU_17_processed.csv"
1483,0,0,0,"MU_18_processed.csv"
1532,0,0,0,"MU_19_processed.csv"
1369,0,0,0,"MU_20_processed.csv"
1395,0,0,0,"MU_21_processed.csv"
1333,0,0,0,"MU_22_processed.csv"
1302,0,0,0,"NEU_14_processed.csv"
1254,0,0,0,"NEU_15_processed.csv"
1236,0,0,0,"NEU_16_processed.csv"
1223,0,0,0,"NEU_17_processed.csv"
1233,0,0,0,"NEU_18_processed.csv"
1236,0,1,0,"NEU_19_processed.csv"
2024,0,2,0,"NEU_20_processed.csv"
1134,0,0,0,"NEU_21_processed.csv"
1163,0,0,0,"NEU_22_processed.csv"
1035,0,0,0,"OC_14_processed.csv"
1282,0,0,0,"OC_15_processed.csv"
1285,0,0,0,"OC_16_processed.csv"
1454,0,0,0,"OC_17_processed.csv"
1458,0,0,0,"OC_18_processed.csv"
1433,0,0,0,"OC_19_processed.csv"
1278,2,0,0,"OC_20_processed.csv"
1410,2,0,1,"OC_21_processed.csv"
1368,2,0,1,"OC_22_processed.csv"
2295,2,0,0,"OGE_14_processed.csv"
2342,1,0,0,"OGE_15_processed.csv"
2489,16,0,2,"OGE_16_processed.csv"
2562,12,0,2,"OGE_17_processed.csv"
2546,6,0,0,"OGE_18_processed.csv"
2255,5,0,0,"OGE_19_processed.csv"
2017,4,0,0,"OGE_20_processed.csv"
2408,5,2,1,"OGE_21_processed.csv"
1869,3,0,0,"OGE_22_processed.csv"
2395,4,0,0,"OTTR_14_processed.csv"
2644,4,0,0,"OTTR_15_processed.csv"
2030,2,0,0,"OTTR_16_processed.csv"
1946,4,0,0,"OTTR_17_processed.csv"
2716,5,0,0,"OTTR_18_processed.csv"
2925,6,0,0,"OTTR_19_processed.csv"
2298,3,0,0,"OTTR_20_processed.csv"
1231,2,0,1,"OTTR_21_processed.csv"
1341,5,2,1,"OTTR_22_processed.csv"
1378,0,0,0,"PKG_14_processed.csv"
1432,2,0,0,"PKG_15_processed.csv"
1430,1,0,0,"PKG_16_processed.csv"
1423,0,0,0,"PKG_17_processed.csv"
1541,1,0,0,"PKG_18_processed.csv"
1496,2,0,0,"PKG_19_processed.csv"
1414,2,0,0,"PKG_20_processed.csv"
1496,0,0,0,"PKG_21_processed.csv"
2113,1,1,0,"PKG_22_processed.csv"
1741,4,0,2,"POR_14_processed.csv"
1780,6,0,4,"POR_15_processed.csv"
1806,7,0,2,"POR_16_processed.csv"
1832,6,0,0,"POR_17_processed.csv"
1768,5,0,0,"POR_18_processed.csv"
1811,4,1,2,"POR_19_processed.csv"
2610,9,3,4,"POR_20_processed.csv"
1585,3,2,1,"POR_21_processed.csv"
1849,6,6,0,"POR_22_processed.csv"
1646,5,0,0,"QCOM_14_processed.csv"
1600,6,0,0,"QCOM_15_processed.csv"
1706,6,0,0,"QCOM_16_processed.csv"
1989,4,0,0,"QCOM_17_processed.csv"
2146,2,0,0,"QCOM_18_processed.csv"
1981,0,0,0,"QCOM_19_processed.csv"
1768,3,0,0,"QCOM_20_processed.csv"
1615,4,1,0,"QCOM_21_processed.csv"
1574,1,1,0,"QCOM_22_processed.csv"
1384,1,0,0,"REX_14_processed.csv"
824,2,0,0,"REX_15_processed.csv"
972,2,0,0,"REX_16_processed.csv"
1049,2,0,0,"REX_17_processed.csv"
1177,2,0,0,"REX_18_processed.csv"
1166,2,0,0,"REX_19_processed.csv"
1126,3,0,0,"REX_20_processed.csv"
1097,3,0,0,"REX_21_processed.csv"
1004,4,0,0,"REX_22_processed.csv"
1419,0,0,0,"SCL_14_processed.csv"
1470,0,0,0,"SCL_15_processed.csv"
1567,0,0,0,"SCL_16_processed.csv"
1612,0,0,0,"SCL_17_processed.csv"
1662,0,0,0,"SCL_18_processed.csv"
1634,1,0,0,"SCL_19_processed.csv"
1631,0,0,0,"SCL_20_processed.csv"
1653,0,0,0,"SCL_21_processed.csv"
1725,0,0,0,"SCL_22_processed.csv"
811,0,0,0,"SEB_14_processed.csv"
831,0,0,0,"SEB_15_processed.csv"
873,0,0,3,"SEB_16_processed.csv"
864,0,0,3,"SEB_17_processed.csv"
851,0,0,3,"SEB_18_processed.csv"
843,0,0,3,"SEB_19_processed.csv"
3047,2,0,0,"SEB_20_processed.csv"
2859,6,0,4,"SEB_21_processed.csv"
2680,2,0,3,"SEB_22_processed.csv"
318,0,0,0,"SJM_14_processed.csv"
352,0,0,0,"SJM_15_processed.csv"
366,0,0,0,"SJM_16_processed.csv"
363,0,0,0,"SJM_17_processed.csv"
413,0,0,0,"SJM_18_processed.csv"
1299,0,0,0,"SJM_19_processed.csv"
1268,0,0,0,"SJM_20_processed.csv"
