"sentences","reduction","netzero","error","filename"
3160,1,0,0,"AA_17_processed.csv"
3200,1,0,0,"AA_18_processed.csv"
3425,2,0,0,"AA_19_processed.csv"
2357,0,0,0,"AA_20_processed.csv"
2452,0,0,1,"AA_21_processed.csv"
2553,0,0,1,"AA_22_processed.csv"
2511,0,0,1,"AA_23_processed.csv"
3369,0,0,3,"AA_24_processed.csv"
2430,2,0,0,"AAL_11_processed.csv"
2754,0,0,0,"AAL_12_processed.csv"
2172,0,0,0,"AAL_13_processed.csv"
3430,0,0,2,"AAL_14_processed.csv"
3494,0,0,0,"AAL_15_processed.csv"
3303,0,0,0,"AAL_16_processed.csv"
2480,0,1,0,"AAL_17_processed.csv"
2959,0,0,16,"AAL_18_processed.csv"
2959,0,0,12,"AAL_19_processed.csv"
4462,2,4,14,"AAL_20_processed.csv"
3314,1,1,10,"AAL_21_processed.csv"
3431,4,2,10,"AAL_22_processed.csv"
2925,4,5,10,"AAL_23_processed.csv"
2871,5,3,10,"AAL_24_processed.csv"
1324,0,0,0,"ABBV_14_processed.csv"
1344,0,0,0,"ABBV_15_processed.csv"
1098,0,0,0,"ABBV_16_processed.csv"
1670,0,0,0,"ABBV_17_processed.csv"
1594,0,0,0,"ABBV_18_processed.csv"
1559,0,0,0,"ABBV_19_processed.csv"
2809,0,0,0,"ABBV_20_processed.csv"
1728,0,0,1,"ABBV_21_processed.csv"
1670,0,0,1,"ABBV_22_processed.csv"
1638,0,0,2,"ABBV_23_processed.csv"
1663,0,0,1,"ABBV_24_processed.csv"
760,0,0,0,"ABT_10_processed.csv"
850,0,0,0,"ABT_11_processed.csv"
948,0,0,0,"ABT_12_processed.csv"
887,0,0,0,"ABT_13_processed.csv"
810,1,0,0,"ABT_14_processed.csv"
875,0,0,0,"ABT_15_processed.csv"
905,0,0,0,"ABT_16_processed.csv"
1041,0,0,0,"ABT_17_processed.csv"
1152,0,0,0,"ABT_18_processed.csv"
1113,0,0,0,"ABT_19_processed.csv"
3554,0,0,0,"ABT_20_processed.csv"
2988,0,0,2,"ABT_21_processed.csv"
3134,0,0,4,"ABT_22_processed.csv"
1313,0,0,0,"ABT_23_processed.csv"
1380,1,0,0,"ABT_24_processed.csv"
1297,0,0,0,"ACA_19_processed.csv"
2409,1,0,1,"ACA_20_processed.csv"
