"","PARENT COMPANY","year","GHG"
"1","","2010",72159
"2","1804 LTD","2016",70403
"3","1804 LTD","2017",63498
"4","1804 LTD","2018",67216
"5","1804 LTD","2019",80081
"6","1804 LTD","2020",64294
"7","1804 LTD","2021",104097
"8","1804 LTD","2022",77438
"9","3 BEAR DELAWARE OPERATING  NM LLC","2020",73428
"10","3 BEAR DELAWARE OPERATING  NM LLC","2021",147385
"11","3 Bear Delaware Operating  NM LLC","2019",38691
"12","31 GROUP LLC","2018",47998
"13","31 GROUP LLC","2019",40272
"14","31 Group LLC","2017",48071
"15","31 OFFSHORE LLC","2022",8754.15
"16","31 Offshore LLC","2021",8101.05
"17","3CM HOLDINGS LLC","2019",238432
"18","3CM HOLDINGS LLC","2020",92696
"19","3CM HOLDINGS LLC","2021",263314
"20","3CM HOLDINGS LLC","2022",305370
"21","3M","2010",28988
"22","3M","2011",73653
"23","3M","2012",56199
"24","3M","2013",64664
"25","3M","2014",66307
"26","3M CO","2011",91254
"27","3M CO","2012",85177
"28","3M CO","2013",94616
"29","3M CO","2014",97310
"30","3M CO","2015",1244912
"31","3M CO","2016",1041918
"32","3M CO","2017",1071429
"33","3M CO","2018",1166836
"34","3M CO","2019",1212019
"35","3M CO","2020",1066631
"36","3M CO","2021",1113368
"37","3M CO","2022",1034538
"38","3M COMPANY","2010",28750
"39","3M Center","2010",87826
"40","3M Center","2011",60443
"41","3M Center","2012",57279
"42","3M Center","2013",58215
"43","3M Center","2014",53025
"44","3M Company","2010",281714
"45","3M Company","2011",1554655
"46","3M Company","2012",1651721
"47","3M Company","2013",2465505
"48","3M Company","2014",1409581
"49","600 LAND INC","2015",515559
"50","600 LAND INC","2016",166865
"51","600 LAND INC","2017",170160
"52","600 LAND INC","2018",158129
"53","600 LAND INC","2019",174792
"54","600 LAND INC","2020",172827
"55","600 LAND INC","2021",166988
"56","600 LAND INC","2022",157797
"57","600 LAND, INC","2011",519468
"58","600 LAND, INC","2012",539973
"59","600 LAND, INC","2013",498437
"60","600 LAND, INC","2014",525454
"61","600 Land, Inc","2010",426206
"62","600 Land, Inc.","2010",44395
"63","89 ENERGY LLC","2022",103680
"64","89 Energy LLC","2021",56693
"65","A TIMOSHENKO","2016",1892.25
"66","A TIMOSHENKO","2017",1743
