Municipality of Carolina,N/A
Municipality of Fajardo,N/A
Municipality of Guaynabo,N/A
Municipality of Mayaguez,N/A
Municipality of Ponce,N/A
Municipality of Salinas,N/A
Municipality of San Juan,N/A
Municipality of Toa Alta,N/A
Municipality of Toa Baja,N/A
Municipality of Yauco,N/A
Municipal Electric Authority of Georgia,N/A
"Murchison Oil & Gas, LLC",N/A
Murex Petroleum Corporation,N/A
"Murphy Exploration (Alaska), Inc.",N/A
Murphy Oil Corporation,MUR
"Murphy Oil USA, Inc.",MUSA
"Murray County, GA",N/A
Murray Energy Corporation,N/A
"Murray Kentucky Energy, Inc",N/A
Muscatine County Solid Waste Agency,N/A
Muscatine Foods Corporation,N/A
Muscatine Power & Water,N/A
Muskegon County Department of Public Works,N/A
Muskegon Development Company,N/A
Muskegon Operating Co,N/A
Mustang Fuel Corporation,N/A
Myrle Odell,N/A
N/A Federal Government,N/A
"NA Industries, Inc.",N/A
Nadel & Gussman LLC,N/A
NaftEx Operating Co,N/A
Nan Ya Plastics Corp America,N/A
Napa Vallejo Waste Management Authority,N/A
NASSA County Board of County Commissioners,N/A
NatGas Holdings 2 LLC c/o Starwood Energy Group,N/A
National Beef Packing Co LLC,N/A
National Cement,N/A
National Fuel Gas Co,NFG
National Grid USA,NGG
National Oilwell Varco LP,NOV
Natural Gas Partners,N/A
Natural Resource Partners LP,NRP
Natural Resources of Central Florida Inc,N/A
Natural Soda,N/A
NatureSweet USA LLC,N/A
Nautilus Power LLC,N/A
Navajo Transitional Energy Co LLC,N/A
Navistar International Corp,NAV
Navitas Midstream Partners LLC,N/A
NBL Midstream Holdings LLC,N/A
NBM US Holdings Inc,N/A
NC Holdings USA Inc,N/A
ND Paper LLC,N/A
NE Nitro Geneva LLC,N/A
Neaton Auto Products Manufacturing Inc,N/A
Nebraska Public Power District,N/A
"Nedak Ethanol, LLC",N/A
Neenah Inc,NP
Nelson Industrial Steam Co,N/A
Nemak USA Inc,N/A
Neptune Operating LLC,N/A
Nestle Holdings Inc,NSRGY
Nestle Purina Petcare Co,N/A
"NET Power, LLC",N/A
New Athens Generating Co LLC,N/A
New Dalton Foundry LLC,N/A
New Hanover County,N/A
New Jersey Resources Corp,NJR
New Mexico State University,N/A
New River Resource Authority,N/A
New York Power Authority,N/A
New York State Government,N/A
New York University,N/A
New-Indy Containerboard LLC,N/A
Newark E&P Operating LLC,N/A
Newmont Corp,NEM
Newton County Board of Commissioners,N/A
NextEra Energy,NEE
"NFG Midstream Trout Run, LLC",N/A
NGL Energy Partners LP,NGL
Nine Point Energy Holdings Inc,N/A
Nippon Electric Glass America Inc,N/A
Nisource Inc,NI
Nissan North America Inc,N/A
NLMK Indiana,N/A
Noble Americas Corp,N/A
Noble Energy Inc,Acquired by Chevron (CVX)
Noresco,N/A
Norfolk Southern Railway Corp,NSC
Norit Americas Inc,N/A
North American Hoganas,N/A
North American Stainless,N/A
North Carolina Eastern Municipal Power Agency,N/A
North Carolina Electric Membership Corp,N/A
North Dakota University System,N/A
North Star BlueScope Steel LLC,N/A
Northeast Arkansas Solid Waste District,N/A
"Northeast Energy Associates, LP",N/A
Northeast Maryland Waste Disposal Authority,N/A
Northeast Natural Energy LLC,N/A
Northeast Ohio Regional Sewer District,N/A
Northeast Texas Electric Cooperative Inc,N/A
Northeastern University,N/A
Northern Border Pipeline Co,N/A
Northern California Power Agency,N/A
New York State Government,N/A
New York University,N/A
"New-Indy Containerboard, LLC",N/A
NewMarket Corporation,NEU
Newmont Mining Corporation,NEM
Newmont USA Limited,Subsidiary of Newmont Corporation (NEM)
Newport Fab LLC,N/A
Newton County Board of Commissioners,N/A
Newton Mcdonald County Landfill Inc,N/A
NextEra Energy,NEE
NextEra Energy Resources,Subsidiary of NextEra Energy (NEE)
"NextEra Energy Resources, LLC",Subsidiary of NextEra Energy (NEE)
"NextEra Energy, Inc.",NEE
NextEra Energy,NEE
NextEra Energy Resources,Subsidiary of NextEra Energy (NEE)
"Niagara Mohawk Holdings, Inc.",Subsidiary of National Grid (NGG)
"Nicor, Inc",Subsidiary of Southern Company (SO)
"Nine Point Energy Holdings, Inc",N/A
Nippon Electric Glass America INC,N/A
Nippon Shokubai America Industries INC,N/A
"Nippon Shokubai America Industries, INC",N/A
Nippon Steel USA,Subsidiary of Nippon Steel Corporation (5401.T on TSE)
Niska Gas Storage,N/A
Niska Gas Storage Partners,N/A
Niska Gas Storage Partners LP,N/A
"Nissan North America, Inc",Subsidiary of Nissan Motor Co. (NSANY)
"Nissan North America, Inc.",Subsidiary of Nissan Motor Co. (NSANY)
Noble Energy Inc.,Acquired by Chevron Corporation (CVX)
"Noble Energy, INCORPORATED",Acquired by Chevron Corporation (CVX)
"Noble Energy, Inc",Acquired by Chevron Corporation (CVX)
Noble Environmental Inc,N/A
Noble Midstream Services,Acquired by Chevron Corporation (CVX)
Non-ExxonMobil Interests,N/A
None,N/A
Nonpareil Corp,N/A
Nonpareil Corporation,N/A
NorTex Midstream Holdings II LLC,N/A
"NorTex Midstream Partners, LLC",N/A
Noranda Alumina LLC,N/A
Noranda Aluminum Holding Corporation,N/A
Norfolk Southern Corporation,NSC
Norfolk Southern Railway Corporation,Subsidiary of Norfolk Southern Corporation (NSC)
Norit Americas Inc,N/A
Norit Americas Inc.,N/A
"North American Energy Alliance, LLC",N/A
North American Energy Alliance,N/A
"North American Energy Alliance, LLC",N/A
North American Hoganas,N/A
