"ticker","year","GHG","PARENT.COMPANY","sentences","reduction","netzero","error"
"ABT",2010,271109,"Abbott Labortories",760,0,0,0
"ABT",2011,241152,"Abbott Labortories",850,0,0,0
"ABT",2012,211857,"Abbott Labortories",948,0,0,0
"ABT",2013,145452,"Abbott Labortories",887,0,0,0
"ABT",2014,147317,"Abbott Labortories",810,1,0,0
"ABT",2015,137004,"Abbott Labortories",875,0,0,0
"ABT",2016,138160,"Abbott Labortories",905,0,0,0
"ABT",2017,117778,"Abbott Labortories",1041,0,0,0
"ABT",2018,114188,"Abbott Labortories",1152,0,0,0
"ABT",2019,113543,"Abbott Labortories",1113,0,0,0
"ABT",2020,111891,"Abbott Labortories",3554,0,0,0
"ABT",2021,135898,"Abbott Labortories",2988,0,0,2
"ABT",2022,138440,"Abbott Labortories",3134,0,0,4
"ADI",2010,0,NA,2079,3,0,0
"ADI",2011,41129,"Analog Devices, Inc.",2234,2,0,0
"ADI",2012,38264,"Analog Devices, Inc.",1400,2,0,2
"ADI",2013,33849,"Analog Devices, Inc.",1379,1,0,0
"ADI",2014,37426,"Analog Devices, Inc.",1502,0,0,0
"ADI",2015,32999,"Analog Devices, Inc.",1428,0,0,2
"ADI",2016,31656,"Analog Devices, Inc.",1547,0,0,2
"ADI",2017,34325,"Analog Devices, Inc.",1600,0,0,4
"ADI",2018,47633,"Analog Devices, Inc.",1596,0,0,6
"ADI",2019,51711,"Analog Devices, Inc.",1529,0,0,3
"ADI",2020,45912,"Analog Devices, Inc.",1589,0,0,3
"ADI",2021,125755,"Analog Devices, Inc.",1550,0,1,4
"ADI",2022,137479,"Analog Devices, Inc.",1485,0,1,6
"ADM",2010,4762080,"Archer Daniels Midland Company",1941,1,0,1
"ADM",2011,10641461,"Archer Daniels Midland Company",1662,0,0,0
"ADM",2012,10755004,"Archer Daniels Midland Company",1458,0,0,0
"ADM",2013,10306133,"Archer Daniels Midland Company",2444,1,0,0
"ADM",2014,10545211,"Archer Daniels Midland Company",1683,0,0,0
"ADM",2015,12573189,"Archer Daniels Midland Company",1634,0,0,0
"ADM",2016,12150317,"Archer Daniels Midland Company",1596,0,0,0
"ADM",2017,12381362,"Archer Daniels Midland Company",1549,0,0,0
"ADM",2018,12341044,"Archer Daniels Midland Company",1599,0,0,0
"ADM",2019,12388843,"Archer Daniels Midland Company",1639,0,0,0
"ADM",2020,11271636,"Archer Daniels Midland Company",2807,0,0,1
"ADM",2021,11235812,"Archer Daniels Midland Company",1548,3,1,0
"ADM",2022,11371897,"Archer Daniels Midland Company",1487,8,3,0
"APD",2010,859226,"Air Products & Chemicals, Inc.",1773,0,0,0
"APD",2011,7932934,"Air Products & Chemicals, Inc.",1777,1,0,0
"APD",2012,7845432,"Air Products & Chemicals, Inc.",1853,1,0,0
"APD",2013,8098553,"Air Products & Chemicals, Inc.",1783,1,0,0
"APD",2014,8859206,"Air Products & Chemicals, Inc.",1833,0,0,0
"APD",2015,12466575,"Air Products & Chemicals, Inc.",1718,2,0,0
"APD",2016,12310104,"Air Products & Chemicals, Inc.",1783,1,0,0
"APD",2017,12445640,"Air Products & Chemicals, Inc.",2157,0,0,0
"APD",2018,12523837,"Air Products & Chemicals, Inc.",2155,0,0,0
"APD",2019,12683849,"Air Products & Chemicals, Inc.",3332,5,0,4
"APD",2020,11606326,"Air Products & Chemicals, Inc.",1850,3,1,0
"APD",2021,12455743,"Air Products & Chemicals, Inc.",1791,1,1,0
"APD",2022,13342140,"Air Products & Chemicals, Inc.",1868,13,1,0
"ATI",2010,440505,"Allegheny Technologies Incorporated",2466,0,0,0
"ATI",2011,436989,"Allegheny Technologies Incorporated",2435,2,0,0
"ATI",2012,469393,"Allegheny Technologies Incorporated",1448,3,0,0
"ATI",2013,452517,"Allegheny Technologies Incorporated",1343,0,0,0
"ATI",2014,539205,"Allegheny Technologies Incorporated",1625,0,0,6
"ATI",2015,469047,"Allegheny Technologies Incorporated",1650,0,0,2
"ATI",2016,342455,"Allegheny Technologies Incorporated",1716,0,0,0
"ATI",2017,354371,"Allegheny Technologies Incorporated",1737,0,0,4
"ATI",2018,397203,"Allegheny Technologies Incorporated",1741,0,0,2
"ATI",2019,416004,"Allegheny Technologies Incorporated",1787,0,0,2
"ATI",2020,325869,"Allegheny Technologies Incorporated",3275,1,0,4
"ATI",2021,300870,"Allegheny Technologies Incorporated",1985,0,0,2
"ATI",2022,315910,"Allegheny Technologies Incorporated",1900,0,0,2
"BMY",2010,67160,"Bristol-Myers Squibb Company",2444,0,0,0
"BMY",2011,123522,"Bristol-Myers Squibb Company",2612,0,0,0
"BMY",2012,118048,"Bristol-Myers Squibb Company",2236,1,0,0
"BMY",2013,129360,"Bristol-Myers Squibb Company",2352,1,0,0
"BMY",2014,125673,"Bristol-Myers Squibb Company",2576,0,0,0
"BMY",2015,122001,"Bristol-Myers Squibb Company",2413,0,0,0
"BMY",2016,118298,"Bristol-Myers Squibb Company",2445,1,0,0
"BMY",2017,121417,"Bristol-Myers Squibb Company",2232,1,0,2
"BMY",2018,110217,"Bristol-Myers Squibb Company",2249,1,0,2
"BMY",2019,84260,"Bristol-Myers Squibb Company",2247,0,0,0
"BMY",2020,83475,"Bristol-Myers Squibb Company",4328,0,0,5
"BMY",2021,90193,"Bristol-Myers Squibb Company",2396,0,0,1
