"PARENT COMPANIES","REPORTING YEAR","GHG QUANTITY (METRIC TONS CO2e)"
"3M CO (100%)",2022,38182
"3M CO (100%)",2022,650245
"3M CO (100%)",2022,758
"ABBVIE INC (100%)",2022,63110
"ADA CARBON SOLUTIONS LLC (100%)",2022,321030
"ARCHER DANIELS MIDLAND CO (100%)",2022,89098
"ADVANSIX INC (100%)",2022,1163958
"GEVO INC (100%)",2022,2265
"AGRIUM US INC (100%)",2022,1026667
"AGRIUM US INC (100%)",2022,142911
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,620672
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,317571
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,197147
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,3055
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,484975
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,446312
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,914744
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,792651
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,47332
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,192113
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,772660
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,149439
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,910960
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,45454
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,59960
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,711872
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,769825
"ALBEMARLE CORP (100%)",2022,44964
"ALBEMARLE CORP (100%)",2022,82972
"ALTIVIA SERVICES LLC (100%)",2022,105582
"ALTIVIA CORP (100%)",2022,27364
"ARKEMA DELAWARE INC (50%); NIPPON SHOKUBAI AMERICA INDUSTRIES INC (50%)",2022,73208
"CHEVRON CORP (50%); TRINSEO PLC (50%)",2022,596882
"AMGEN INC (100%)",2022,36979
"ARUBA INVESTMENTS INC (100%)",2022,138350
"FREEPORT-MCMORAN INC (50%); SOUTHWEST ENERGY LLC (50%)",2022,462940
"ARKEMA DELAWARE INC (100%)",2022,54184
"ARKEMA DELAWARE INC (100%)",2022,89531
"ARKEMA DELAWARE INC (100%)",2022,338828
"ASCEND PERFORMANCE MATERIALS HOLDINGS INC (100%)",2022,531688
"TOKAI CARBON CB LTD (100%)",2022,307353
"ADVANSIX INC (100%)",2022,157464
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,65848
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,483850
"AMERICAN AIR LIQUIDE HOLDINGS INC (100%)",2022,42286
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,237929
"AIR PRODUCTS & CHEMICALS INC (100%)",2022,924549
