"","V1","V2","V3"
"1","NA INDUSTRIES INC","LSB INDUSTRIES INC","5"
"2","NA INDUSTRIES, INC","LSB INDUSTRIES INC","6"
"3","NA Industries, Inc","PPG Industries, Inc","5"
"4","NA Industries, Inc.","TC Industries, Inc.","4"
"5","NADEL & GUSSMAN LLC","UNIBOARD USA LLC","13"
"6","NAFTEX OPERATING CO","BOEING CO","12"
"7","NAN YA PLASTICS CORP AMERICA","APA CORP","20"
"8","NAPA VALLEGO WASTE MANAGEMENT AUTHORITY","SALINAS VALLEY SOLID WASTE AUTHORITY","25"
"9","NASSA COUNTY BOARD OF COUNTY COMMISSIONERS","SALT LAKE COUNTY","34"
"10","NATGAS HOLDINGS 2 LLC C/O STARWOOD ENERGY GROUP","CONSTELLATION ENERGY GROUP","33"
"11","NATIONAL BEEF PACKING CO LLC","SABINAL ENERGY LLC","20"
"12","NATIONAL CEMENT","KRATON CO","12"
"13","NATIONAL CEMENT CO INC","MONARCH CEMENT CO","13"
"14","NATIONAL COOPERATIVE REFINERY ASSOC","INTERNATIONAL PAPER CO","27"
"15","NATIONAL FUEL GAS CO","KRATON CO","15"
"16","NATIONAL GRID USA","UNIBOARD USA LLC","13"
"17","NATIONAL GRID USA INC","UNIBOARD USA LLC","13"
"18","NATIONAL OILWELL VARCO LP","MARATHON OIL CO","18"
"19","NATURAL GAS PARTNERS","ALTAGAS LTD","15"
"20","NATURAL RESOURCE PARTNERS LP","SAGE NATURAL RESOURCES LLC","16"
"21","NATURAL RESOURCES OF CENTRAL FLORIDA INC","SAGE NATURAL RESOURCES LLC","24"
"22","NATURAL SODA","LONZA","11"
"23","NATURESWEET LTD","ABB LTD","12"
"24","NATURESWEET USA LLC","UNIBOARD USA LLC","13"
"25","NAUTILUS POWER LLC","US DOE","14"
"26","NAVAJO TRASITIONAL ENERGY CO LLC","SABINAL ENERGY LLC","18"
"27","NAVISTAR INC","UNISEA INC","6"
"28","NAVISTAR INTERNATIONAL CORP","MASONITE INTERNATIONAL CORP","10"
"29","NAVITAS MIDSTREAM","DCP MIDSTREAM LP","13"
"30","NAVITAS MIDSTREAM PARTNERS LLC","ENABLE MIDSTREAM PARTNERS LP","12"
"31","NBL MIDSTREAM HOLDINGS LLC","ANTERO MIDSTREAM LLC","16"
"32","NBL Midstream Holdings LLC","TA Ada Holdings LLC","13"
"33","NBM US Holdings Inc","SSAB US Holding Inc","6"
"34","NBPCO HOLDINGS LLC","PEPCO HOLDINGS INC","8"
"35","NBPCo Holdings LLC","SNF Holding Co","10"
"36","NBPCo Holdings, LLC","TGGT Holdings, LLC","9"
"37","NC HOLDINGS USA INC","PEPCO HOLDINGS INC","9"
"38","NC Holdings USA INC","SNF Holding Co","11"
"39","ND PAPER INC","KOPPERS INC","7"
"40","ND PAPER LLC","KOPPERS INC","11"
"41","ND PAPER, INC","KOPPERS INC","8"
"42","ND Paper INC","St Paper LLC","8"
"43","ND Paper LLC","St Paper LLC","4"
"44","NE NITRO GENEVA LLC","ANTERO MIDSTREAM LLC","15"
"45","NE Nitro Geneva LLC","Styron LLC","13"
"46","NEATON AUTO PRODUCTS MANUFACTURING INC","TAC MANUFACTURING","21"
"47","NEBRASKA PUBLIC POWER DISTRICT","KOPPERS INC","25"
"48","NEDAK ETHANOL, LLC","TOMPC, LLC","14"
"49","NEDAK Ethanol, LLC","United Ethanol LLC","12"
"50","NEENAH ENTERPRISES INC","AEMETIS INC","15"
"51","NEENAH INC","UNISEA INC","6"
"52","NEENAH PAPER INC","KOPPERS INC","11"
"53","NEI","HEI","2"
"54","NELSON COUNTY FISCAL COURT","EXXON MOBIL CORP","20"
"55","NELSON INDUSTRIAL STEAM CO","LSB INDUSTRIES INC","16"
"56","NELSON INDUSTRIAL STEAM CO LTD","LSB INDUSTRIES INC","20"
"57","NEMAK USA INC","ELANCO US INC","8"
"58","NEPTUNE OPERATING LLC","TOMPC LLC","16"
"59","NESTLE HOLDINGS INC","POST HOLDINGS INC","6"
"60","NESTLE PURINA PETCARE CO","INTERNATIONAL PAPER CO","18"
"61","NESTLE PURINA PETCARE CO.","INTERNATIONAL PAPER CO","19"
"62","NESTLE USA INC","UNISEA INC","8"
"63","NESTLE USA, INC","UNISEA INC","9"
"64","NESTLE USA, INC.","UNISEA INC","10"
"65","NET POWER, LLC","TOMPC, LLC","10"
"66","NEW ATHENS GENERATING CO LLC","DTE ENERGY CO","19"
"67","NEW DALTON FOUNDRY LLC","GENERAL MOTORS LLC","18"
"68","NEW DALTON HOLDINGS CORP","ITC HOLDINGS CORP","11"
"69","NEW HANOVER COUNTY","SALT LAKE COUNTY","14"
"70","NEW HARQUAHALA GENERATING CO LLC","SABINAL ENERGY LLC","24"
"71","NEW JERSEY MEADOWLANDS COMMISSION","DEERE & CO","27"
"72","NEW JERSEY RESOURCES","EOG RESOURCES INC","15"
"73","NEW JERSEY RESOURCES CORP","ANTERO RESOURCES CORP","10"
"74","NEW MEXICO STATE UNIVERSITY","MGE ENERGY","21"
"75","NEW NGC INC","DOW INC","8"
"76","NEW PAGE HOLDING CORP","COVANTA HOLDING CORP","11"
"77","NEW PE HOLD CO LLC","SCI LLC","15"
"78","NEW RIVER RESOURCE AUTHORITY","EVERSOURCE ENERGY","19"
"79","NEW RIVER SOLID WASTE ASSOC","EVERGY INC","23"
"80","NEW RIVER SOLID WASTE ASSOCIATION","SALINAS VALLEY SOLID WASTE AUTHORITY","27"
"81","NEW YORK & PRESBYTERIAN HOSPITALS INC","GREEN PLAINS INC","29"
"82","NEW YORK CITY","ONEOK Inc","10"
"83","NEW YORK CITY DEPARTMENT OF ENVIRONMENTAL PROTECTION","GFL ENVIRONMENTAL INC","37"
"84","NEW YORK CITY HEALTH & HOSPITALS CORP","ARES CAPITAL CORP","26"
"85","NEW YORK POWER AUTHORITY","SACRAMENTO POWER AUTHORITY","14"
"86","NEW YORK STATE","ONEOK Inc","13"
"87","NEW YORK STATE GOVERNMENT","UC REGENTS","21"
"88","NEW YORK UNIVERSITY","ONEOK Inc","16"
"89","NEW-INDY CONTAINERBOARD LLC","UNIBOARD USA LLC","21"
"90","NEW-INDY JV CORP","IDACORP","11"
"91","NEWARK BAY COGENERATION PTNR LP","KRATON CORP","24"
"92","NEWARK E&P OPERATING LLC","MERCK & CO INC","18"
"93","NEWARK E&P OPERATING, LLC","MERCK & CO INC","19"
"94","NEWARK ENERGY CENTER LLC","MGE ENERGY INC","16"
"95","NEWFIELD EXPLORATION CO","KRATON CO","16"
"96","NEWMAN & CO","3M CO","8"
"97","NEWMARKET CORP","EQT CORP","8"
"98","NEWMONT CORP","EQT CORP","6"
"99","NEWMONT USA LTD","ABB LTD","12"
"100","NEWPAGE HOLDING CORP","COVANTA HOLDING CORP","10"
"101","NEWTON COUNTY BOARD OF COMMISSIONERS","JOHNSON CONTROLS INC","30"
"102","NEWTON MCDONALD COUNTY LANDFILL INC","T S LANDFILL, INC","22"
"103","NEXTERA ENERGY","XCEL ENERGY","7"
"104","NEXTERA ENERGY INC","XCEL ENERGY INC","7"
"105","NEXTERA ENERGY RESOURCES","DTE ENERGY CO","15"
"106","NFG Midstream Trout Run, LLC","DCP Midstream, LP","19"
"107","NFR Energy LLC","TRP Energy LLC","4"
"108","NGC INDUSTRIES, INC","PPG INDUSTRIES INC","5"
