"","Company_Year","Reduction_Sentences","ticker","year"
"1","Copy of AAL_11_processed.csv","2","AAL","2011"
"2","Copy of AAL_12_processed.csv","0","AAL","2012"
"3","Copy of AAL_13_processed.csv","0","AAL","2013"
"4","Copy of AAL_20_processed.csv","2","AAL","2020"
"5","Copy of ABBV_14_processed.csv","0","ABBV","2014"
"6","Copy of ABBV_15_processed.csv","0","ABBV","2015"
"7","Copy of ABBV_16_processed.csv","0","ABBV","2016"
"8","Copy of ABT_10_processed.csv","0","ABT","2010"
"9","Copy of ABT_11_processed.csv","0","ABT","2011"
"10","Copy of ABT_12_processed.csv","0","ABT","2012"
"11","Copy of ABT_13_processed.csv","0","ABT","2013"
"12","Copy of ABT_14_processed.csv","1","ABT","2014"
"13","Copy of ABT_15_processed.csv","0","ABT","2015"
"14","Copy of ABT_16_processed.csv","0","ABT","2016"
"15","Copy of ABT_17_processed.csv","0","ABT","2017"
"16","Copy of ACA_21_processed.csv","0","ACA","2021"
"17","Copy of ACA_22_processed.csv","0","ACA","2022"
"18","Copy of ACA_23_processed.csv","0","ACA","2023"
"19","Copy of ADI_10_processed.csv","3","ADI","2010"
"20","Copy of ADI_11_processed.csv","2","ADI","2011"
"21","Copy of ADI_12_processed.csv","2","ADI","2012"
"22","Copy of ADI_13_processed.csv","1","ADI","2013"
"23","Copy of ADM_10_processed.csv","1","ADM","2010"
"24","Copy of ADM_11_processed.csv","0","ADM","2011"
"25","Copy of ADM_12_processed.csv","0","ADM","2012"
"26","Copy of ADM_13_processed.csv","1","ADM","2013"
"27","Copy of Copy of AAL_11_processed.csv","2","AAL","2011"
"28","Copy of Copy of AAL_12_processed.csv","0","AAL","2012"
"29","Copy of Copy of AAL_13_processed.csv","0","AAL","2013"
"30","Copy of Copy of AAL_20_processed.csv","2","AAL","2020"
"31","Copy of Copy of ABBV_14_processed.csv","0","ABBV","2014"
"32","Copy of Copy of ABBV_15_processed.csv","0","ABBV","2015"
"33","Copy of Copy of ABBV_16_processed.csv","0","ABBV","2016"
"34","Copy of Copy of ABT_10_processed.csv","0","ABT","2010"
"35","Copy of Copy of ABT_11_processed.csv","0","ABT","2011"
"36","Copy of Copy of ABT_12_processed.csv","0","ABT","2012"
"37","Copy of Copy of ABT_13_processed.csv","0","ABT","2013"
"38","Copy of Copy of ABT_14_processed.csv","1","ABT","2014"
