"","ticker","year","GHG","n","X","Company_Year","Reduction_Sentences"
"1","AAL",2011,NA,NA,1,"Copy of AAL_11_processed.csv",2
"2","AAL",2011,NA,NA,27,"Copy of Copy of AAL_11_processed.csv",2
"3","AAL",2012,NA,NA,2,"Copy of AAL_12_processed.csv",0
"4","AAL",2012,NA,NA,28,"Copy of Copy of AAL_12_processed.csv",0
"5","AAL",2013,NA,NA,3,"Copy of AAL_13_processed.csv",0
"6","AAL",2013,NA,NA,29,"Copy of Copy of AAL_13_processed.csv",0
"7","AAL",2020,NA,NA,4,"Copy of AAL_20_processed.csv",2
"8","AAL",2020,NA,NA,30,"Copy of Copy of AAL_20_processed.csv",2
"9","ABBV",2014,NA,NA,5,"Copy of ABBV_14_processed.csv",0
"10","ABBV",2014,NA,NA,31,"Copy of Copy of ABBV_14_processed.csv",0
"11","ABBV",2015,NA,NA,6,"Copy of ABBV_15_processed.csv",0
"12","ABBV",2015,NA,NA,32,"Copy of Copy of ABBV_15_processed.csv",0
"13","ABBV",2016,NA,NA,7,"Copy of ABBV_16_processed.csv",0
"14","ABBV",2016,NA,NA,33,"Copy of Copy of ABBV_16_processed.csv",0
"15","ABT",2010,271109,13,8,"Copy of ABT_10_processed.csv",0
"16","ABT",2010,271109,13,34,"Copy of Copy of ABT_10_processed.csv",0
"17","ABT",2011,241152,13,35,"Copy of Copy of ABT_11_processed.csv",0
"18","ABT",2011,241152,13,9,"Copy of ABT_11_processed.csv",0
"19","ABT",2012,211857,13,36,"Copy of Copy of ABT_12_processed.csv",0
"20","ABT",2012,211857,13,10,"Copy of ABT_12_processed.csv",0
"21","ABT",2013,145452,13,37,"Copy of Copy of ABT_13_processed.csv",0
"22","ABT",2013,145452,13,11,"Copy of ABT_13_processed.csv",0
"23","ABT",2014,147317,13,38,"Copy of Copy of ABT_14_processed.csv",1
"24","ABT",2014,147317,13,12,"Copy of ABT_14_processed.csv",1
"25","ABT",2015,137004,13,39,"Copy of Copy of ABT_15_processed.csv",0
"26","ABT",2015,137004,13,13,"Copy of ABT_15_processed.csv",0
"27","ABT",2016,138160,13,14,"Copy of ABT_16_processed.csv",0
"28","ABT",2016,138160,13,40,"Copy of Copy of ABT_16_processed.csv",0
"29","ABT",2017,117778,13,41,"Copy of Copy of ABT_17_processed.csv",0
"30","ABT",2017,117778,13,15,"Copy of ABT_17_processed.csv",0
"31","ABT",2018,114188,13,NA,NA,NA
"32","ABT",2019,113543,13,NA,NA,NA
"33","ABT",2020,111891,13,NA,NA,NA
"34","ABT",2021,135898,13,NA,NA,NA
"35","ABT",2022,138440,13,NA,NA,NA
"36","ACA",2021,NA,NA,16,"Copy of ACA_21_processed.csv",0
"37","ACA",2021,NA,NA,42,"Copy of Copy of ACA_21_processed.csv",0
"38","ACA",2022,NA,NA,17,"Copy of ACA_22_processed.csv",0
"39","ACA",2022,NA,NA,43,"Copy of Copy of ACA_22_processed.csv",0
"40","ACA",2023,NA,NA,18,"Copy of ACA_23_processed.csv",0
"41","ACA",2023,NA,NA,44,"Copy of Copy of ACA_23_processed.csv",0
"42","ADI",2010,NA,NA,19,"Copy of ADI_10_processed.csv",3
"43","ADI",2010,NA,NA,45,"Copy of Copy of ADI_10_processed.csv",3
"44","ADI",2011,NA,NA,20,"Copy of ADI_11_processed.csv",2
"45","ADI",2011,NA,NA,46,"Copy of Copy of ADI_11_processed.csv",2
"46","ADI",2012,NA,NA,21,"Copy of ADI_12_processed.csv",2
"47","ADI",2012,NA,NA,47,"Copy of Copy of ADI_12_processed.csv",2
"48","ADI",2013,NA,NA,48,"Copy of Copy of ADI_13_processed.csv",1
"49","ADI",2013,NA,NA,22,"Copy of ADI_13_processed.csv",1
"50","ADM",2010,4762080,13,23,"Copy of ADM_10_processed.csv",1
