text,classification
"Document Headings

Document headings vary by document type but may contain

the following:

the agency or agencies that issued and signed a document

the number of the CFR title and the number of each part

the document amends, proposes to amend, or is directly

related to

the agency docket number / agency internal file number

the RIN which identifies each regulatory action listed in

the Unified Agenda of Federal Regulatory and Deregulatory

Actions

See the

Document Drafting Handbook

for more details.",none
"Department of Transportation

Federal Highway Administration

23 CFR Part 490

[FHWA Docket No. FHWA-2021-0004]

RIN 2125-AF99

AGENCY:

Federal Highway Administration (FHWA), U.S. Department of Transportation (DOT).",none
"SUMMARY:

This final rule amends FHWA's regulations governing national performance management measures and establishes a method for the measurement and reporting of greenhouse gas (GHG) emissions associated with transportation (GHG measure).",none
It requires State departments of transportation (State DOT) and metropolitan planning organizations (MPO) to establish declining carbon dioxide (CO2) targets for the GHG measure and report on progress toward the achievement of those targets.,reduction
The rule does not mandate how low targets must be.,none
"Rather, State DOTs and MPOs have flexibility to set targets that are appropriate for their communities and that work for their respective climate change and other policy priorities, as long as the targets aim to reduce emissions over time.",none
The FHWA will assess whether State DOTs have made significant progress toward achieving their targets.,none
"DATES:

This final rule is effective January 8, 2024.",none
"FOR FURTHER INFORMATION CONTACT:

Mr. John G. Davies, Office of Natural Environment, (202) 366-6039, or via email at 

JohnG.Davies@dot.gov,

or Mr. Lev Gabrilovich, Office of the Chief Counsel, (202) 366-3813, or via email at 

Lev.Gabrilovich@dot.gov.",none
"SUPPLEMENTARY INFORMATION:

Electronic Access and Filing

This document, the notice of proposed rulemaking (NPRM), all comments received, and all supporting material may be viewed online at 

www.regulations.gov

using the docket number listed above.",none
Electronic retrieval help and guidelines are available on the website.,none
"It is available 24 hours each day, 365 days each year.",none
"An electronic copy of this document may also be downloaded from the Office of the Federal Register's website at 

www.federalregister.gov

and the Government Publishing Office's website at 

www.GovInfo.gov.",none
"I. Executive Summary

The FHWA is amending its regulations on national performance management measures at 23 CFR part 490 (part 490) and establishing a method for the measurement and reporting of GHG emissions.",none
"The environmental sustainability, and specifically the carbon footprint, of the transportation system is a critically important attribute that State DOTs can and should use to assess the performance of the Interstate and non-Interstate NHS.",none
"Section 150(c) of Title 23, U.S.C., clearly directs FHWA to establish performance measures that the State DOTs can use to assess performance of the Interstate and non-Interstate NHS.",none
"Although the statute does not define the meaning of “performance” of the Interstate and non-Interstate NHS under 23 U.S.C. 150(c), Congress identified national goals under 23 U.S.C. 150(b), which include environmental sustainability.",none
"To support the environmental sustainability national goal, FHWA is interpreting “performance” of the Interstate System and non-Interstate NHS under 23 U.S.C. 150(c) to include the system's environmental performance.",none
"This definition of “performance” is also consistent with other Title 23, U.S.C. provisions, such as 23 U.S.C. 119, discussed later in this preamble.",none
"The GHG measure established in this rule is the same as the measure proposed in the NPRM, which is the percent change in on-road tailpipe CO2

emissions on the NHS relative to the reference year.",reduction
The FHWA is finalizing a reference year of 2022 as part of this rule.,none
The measure is part of the National Highway Performance Program (NHPP) performance measures that FHWA established in part 490 through prior rulemakings.,none
"The GHG measure requires State DOTs and MPOs that have NHS mileage within their State geographic boundaries and metropolitan planning area boundaries, respectively, to establish declining targets for reducing CO2

emissions [1] 

generated by on-road mobile sources.",reduction
"The regulation uses “NHS” to mean the mainline highways of the NHS, consistent with the applicability of the measure described in § 490.503(a)(2).",none
"Consistent with the Transportation Performance Management (TPM) framework, State DOTs will establish 2- and 4-year statewide emissions reduction targets, and MPOs will establish 4-year emissions reduction targets for their metropolitan planning areas.",reduction
"In addition, the rule will require certain MPOs serving UZAs with populations of 50,000 or more to establish additional joint targets.",none
"Specifically, when the metropolitan planning area boundaries of two or more MPOs overlap any portion of an UZA, and the UZA contains NHS mileage, those MPOs will establish joint 4-year targets for that UZA.",none
This joint target will be established in addition to each MPO's target for their metropolitan planning area.,none
"State DOTs and MPOs have the flexibility to set targets that work for their respective climate change policies and other policy priorities, so long as they are declining.",none
The State DOTs and MPOs are also required to report on their progress in meeting the targets.,none
"The final rule applies to the 50 States, the District of Columbia, and Puerto Rico, consistent with the definition of the term “State” in 23 U.S.C. 101(a).",none
"To realize the benefits of a GHG measure as soon as is practicable, State DOTs will first establish targets and report those targets by February 1, 2024, and subsequent targets will be established and reported no later than October 1, 2026, with biennial reports thereafter.",reduction
The GHG measure will help the United States (U.S.) confront the increasingly urgent climate crisis.,none
"The Sixth Assessment Report by the Intergovernmental Panel on Climate Change (IPCC), released on August 7, 2021, confirms that human activities are increasing GHG concentrations that have warmed the atmosphere, ocean, and land at a rate that is unprecedented in at least the last 2000 years.[2] 

Changes in extreme events, along with anticipated future increases in the occurrence and severity of these events because of climate change, threaten the reliability, safety, and efficiency of the transportation system and the people who rely on it to move themselves and transport goods.",none
"At the same time, 

transportation contributes significantly to the causes of climate change,[3] 

representing the largest source of U.S. CO2

emissions, and each additional ton of CO2

produced by the combustion of fossil fuels contributes to future warming and other climate impacts.",none
"The GHG measure aligns with Executive Orders (E.O.) described later in this preamble and supports the U.S. target of reducing GHG emissions 50-52 percent below 2005 levels in 2030, on course to reaching net-zero emissions economywide no later than 2050.[4] 

As a matter of transportation policy, DOT considers the GHG measure essential to improve transportation sector performance and demonstrate Federal leadership in the assessment and disclosure of climate pollution.",net-zero
The first step toward reducing GHG emissions involves inventorying and monitoring those emissions.,none
"By providing consistent and timely information about on-road mobile source emissions on the NHS, the GHG measure has the potential to increase public awareness of GHG emissions trends, improve the transparency of transportation decisions, enhance decisionmaking at all levels of government, and support better informed planning choices to reduce GHG emissions or inform tradeoffs among competing policy choices.",none
"Furthermore, the rule responds to the direction in sections 1 and 2 of E.O. 13990 (86 FR 7037) that Federal agencies review any regulations issued or similar actions taken between January 20, 2017, and January 20, 2021, and, consistent with applicable law, take steps to address any such actions that conflict with the national objectives set forth in the order to address climate change.",none
"The FHWA reviewed its 2018 final rule (83 FR 24920, May 31, 2018) that repealed a GHG measure FHWA adopted in 2017 (2017 GHG measure) and determined that the repeal conflicts with those objectives.",none
"After reviewing the 2018 final rule, FHWA has reconsidered its position that the Agency's authority to promulgate the 2017 final rule reflected a “strained reading of the statutory language in section 150.” 83 FR at 24923.",none
"The FHWA now concludes, as it did when establishing a GHG measure in the 2017 PM3 final rule, that it has the legal authority to establish the GHG measure under 23 U.S.C. 150.",none
"Specifically, FHWA is clearly directed under 23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V) to establish measures for States to use to assess the performance of the Interstate System and non-Interstate NHS.",none
"Although the statute does not define performance, 23 U.S.C. 150(b)(6) identifies environmental sustainability as a national goal of the Federal-aid highway program, and Congress, in 23 U.S.C. 150(a), has declared that performance management, including the use of performance measures, is key to meeting the national goals of section 150(b).",none
"To address the national goal of environmental sustainability, FHWA has determined that the performance of the Interstate System and the NHS under 23 U.S.C. 150(c)(3)(A)(ii)(IV)-(V) logically includes environmental performance.",none
"The GHG measure is also appropriate in light of other provisions of Title 23, U.S.C., notably the NHPP provisions at 23 U.S.C. 119, which include requirements for State asset management plans that support progress toward the achievement of the national goals identified in 23 U.S.C. 150(b), including the national goal to enhance the performance of the transportation system while protecting and enhancing the natural environment at 23 U.S.C. 150(b)(6), and include a risk management analysis that specifically addresses extreme weather and resilience.",none
See23 U.S.C. 119(e)(2) and (e)(4)(D).,none
"This reconsideration is discussed in detail in section III.B in the NPRM, 

see87 FR 42407-42410, and section III below.",none
"The regulatory impact analysis (RIA) prepared pursuant to E.O. 12866, as amended by E.O. 14094, is available in the rulemaking docket (Docket No. FHWA-2021-0004).",none
"The RIA estimates the costs associated with establishing the GHG measure, derived from the costs of implementing the GHG measure for each component of the rule that may involve costs.",none
"To estimate the costs, FHWA assessed the level of effort that would be needed to comply with each applicable section in part 490 with respect to the GHG measure, including labor hours by labor category, over a 10-year study period (2023-32).",none
"Total costs over this period are estimated to be $10.8 million, discounted at 7 percent, and $12.7 million, discounted at 3 percent.",none
The RIA also discusses anticipated benefits of the rule qualitatively because the anticipated quantitative benefits are difficult to forecast and monetize.,none
"These benefits include: (1) more-informed decision-making through the creation of complete, consistent, and timely information on GHG emissions; (2) greater accountability through the establishment of a more highly visible and transparent performance reporting system; and (3) improved progress toward achieving national transportation goals by including declining targets for CO2

emissions on the NHS in the set of existing performance requirements designed to help the Federal-aid highway program support balanced performance outcomes and national climate policies.",none
"Background and Regulatory History

The 2012 Moving Ahead for Progress in the 21st Century Act (MAP-21) (Pub.",none
L. 112-141) and the 2015 Fixing America's Surface Transportation (FAST Act) (Pub.,none
L. 114-94) transformed the Federal-aid highway program by establishing performance management requirements and tasking FHWA with carrying them out.,none
"To implement this program, FHWA established an organizational unit with dedicated full-time staff to coordinate with program staff from each of the performance areas to design and establish an approach to effectively implement the Title 23 performance provisions.",none
The FHWA has technical and policy experts on staff to assist State DOTs and MPOs with implementing performance management and oversee program requirements.,none
"The FHWA implemented this performance management network through multiple rulemakings, which established in 23 CFR part 490 the performance measures and requirements for target establishment, reporting on progress, and how determinations would be made on whether State DOTs have made significant progress toward applicable targets.",none
"The TPM requirements provide increased accountability and transparency, and facilitate efficient investment of Federal transportation funds through a focus on performance outcomes for the seven national 

transportation goals concerning safety, infrastructure condition, congestion reduction, system reliability, freight movement and economic vitality, environmental sustainability, and reduced project delivery delays.",none
"Through performance management, recipients of Federal-aid highway funds make transportation investments to achieve short-term performance targets and make progress toward the seven statutory national transportation goals.",none
Performance management allows FHWA to more effectively evaluate and report on the Nation's surface transportation conditions and performance.,none
"Prior to MAP-21, there were no explicit statutory requirements for State DOTs or MPOs to demonstrate how their transportation programs supported national performance outcomes, making it difficult to assess the effectiveness of the Federal-aid highway program.",none
"The TPM requirements established in MAP-21 changed this paradigm by requiring State DOTs and MPOs to measure condition or performance, establish targets, assess progress toward targets, and report on condition or performance in a nationally consistent manner for the first time.",none
See23 U.S.C. 150(e); 23 CFR 490.107.,none
"As previously noted, FHWA conducted several rulemakings implementing the performance management framework.",none
"Most relevant to this proposed rule are three related national performance management measure rulemakings in which FHWA established various measures for State DOTs and MPOs to use to assess performance, found at 23 CFR part 490.",none
"The first rulemaking focused on Safety Performance Management (PM1), and a final rule published on March 15, 2016 (81 FR 13882), established performance measures for State DOTs to use to carry out the Highway Safety Improvement Program (HSIP).",none
"The second rulemaking on Infrastructure Performance Management (PM2) resulted in a final rule published on January 18, 2017 (82 FR 5886), that established performance measures for assessing pavement condition and bridge condition for the NHPP.",none
"The third rulemaking, System Performance Management (PM3), established measures for State DOTs and MPOs to use to assess the performance of the Interstate and non-Interstate NHS for the purpose of carrying out the NHPP; to assess freight movement on the Interstate System; and to assess traffic congestion and on-road mobile source emissions for the purpose of carrying out the Congestion Mitigation and Air Quality (CMAQ) Program.",none
"The PM3 final rule was published on January 18, 2017 (82 FR 5970).",none
"The PM3 rule addressed a broad set of performance issues and some of the national transportation goals, such as environmental sustainability, that were not addressed in the earlier rulemakings focused solely on safety and infrastructure condition.",none
"In the preamble to the PM3 proposed rule, published on April 22, 2016 (81 FR 23806), FHWA requested public comment on whether to establish a CO2

emissions measure in the final rule and, if so, how to do so.",none
"The FHWA acknowledged the contribution of on-road sources to over 80 percent of U.S. transportation sector GHG emissions, and the historic Paris Agreement in which the U.S. and more than 190 other countries agreed in December 2015 to reduce GHG emissions, with the goal of limiting global temperature rise to less than 2 degrees Celsius above pre-industrial levels by 2050.",reduction
The FHWA recognized that achieving U.S. climate goals would require significant GHG reductions from on-road transportation sources.,none
"Against this backdrop, FHWA stated that it was considering how GHG emissions could be estimated and used to inform planning and programming decisions to reduce long term emissions.",none
"The FHWA sought comment on the potential establishment and effectiveness of a GHG emissions measure as a planning, programming, and reporting tool, and FHWA requested feedback on specific considerations related to the design of such a measure.",none
"In the PM3 final rule, after considering extensive public comments on whether and how FHWA should establish such a measure, FHWA established a GHG emissions performance measure to measure environmental performance in accordance with 23 U.S.C. 150(c)(3).",none
"The measure involved the percent change in CO2

emissions from the reference year 2017, generated by on-road mobile sources on the NHS.",reduction
"After a change in Administration, FHWA repealed the 2017 GHG measure before the respective due dates for target setting or reporting.",none
"On October 5, 2017 (82 FR 46427), FHWA proposed to repeal the 2017 GHG measure.",none
The FHWA requested public comment on whether to retain or revise the 2017 GHG measure.,none
"In light of policy direction at the time to review existing regulations to determine whether changes would be appropriate to eliminate duplicative regulations, reduce costs, and streamline regulatory processes, and after considering public comments received, on May 31, 2018 (83 FR 24920), FHWA repealed the GHG measure, effective on July 2, 2018.",none
"The FHWA identified three main reasons for the repeal: (1) reconsideration of the underlying legal authority; (2) the cost of the GHG measure in relation to the lack of demonstrated benefits; and (3) potential duplication of information produced by the GHG measure and information produced by other initiatives related to measuring CO2

emissions.",none
